measure,n_classic,n_multiple,classic_mean,classic_median,classic_min,classic_max,multiple_mean,multiple_median,multiple_min,multiple_max,U,p,cliffs_delta
confidence,7,8,3.607142857142857,4.0,2.5,4.75,4.3125,4.25,3.75,5.0,41.0,0.13887139294431639,0.4642857142857143
clarity,7,8,3.885714285714286,4.0,3.2,4.8,4.25,4.1,3.8,4.8,38.0,0.2646524857805508,0.35714285714285715
cognitive_load,7,8,2.5714285714285716,2.4,1.8,3.8,2.5875,2.35,1.8,4.0,27.5,1.0,-0.017857142857142856
mental_effort,7,8,4.714285714285714,5.0,3.0,7.0,4.875,4.5,3.0,8.0,27.5,1.0,-0.017857142857142856
usefulness,7,8,3.4285714285714284,3.33,2.67,4.33,4.16625,4.33,3.0,5.0,44.5,0.06147016451906969,0.5892857142857143
engagement,7,8,3.19,3.33,2.0,4.0,4.25,4.33,3.0,5.0,48.0,0.023027356874736424,0.7142857142857143
