measure,n_classic,n_multiple,classic_mean,multiple_mean,U,p,cliffs_delta
total,7,8,66.85714285714286,83.125,52.0,0.0060196900186244425,0.8571428571428571
A_core,7,8,19.714285714285715,21.0,28.5,1.0,0.017857142857142856
B_compute,7,8,9.428571428571429,18.625,50.0,0.012050600770567845,0.7857142857142857
C_learning_rate,7,8,11.142857142857142,12.375,36.0,0.38069927096238954,0.2857142857142857
D_application,7,8,9.714285714285714,14.625,49.5,0.013758983595966853,0.7678571428571429
E_process,7,8,9.714285714285714,10.75,37.0,0.288008758003942,0.32142857142857145
F_variants,7,8,7.142857142857143,5.75,25.0,0.7678602347342285,-0.10714285714285714
